oppt_id,account_id,geo_id,stage_id,owner_user_id,amount,created_at,closed_at
d2d1c37d-e6ac-4d27-ba5e-02079bf25991,bc2a2cc9-749e-4abf-a6c1-8e6e5b2da6e8,6465de2a-d171-47cf-8c70-c744338b243d,4eb20bfa-9b50-4dd2-a4a9-e22c99726f73,2249de95-e35c-41e4-8230-526a74b2d35d,17504,2023-05-27 06:43:47,2022-01-31 08:16:11
dd8f6af1-4386-40ae-952d-e93cd8d77f21,8466c320-edcd-4128-9bd6-e9581440f3e9,c68acfda-6db5-405f-ab3d-9e54547cc5df,c53c3404-7431-4b49-b22a-35b72ef4a2fd,7cf706b5-2b7e-4ed2-b50e-414da943fb65,13728,2023-04-15 16:55:30,2023-06-14 13:51:58
553fad97-7f80-4379-9e19-bc42ccc1dcdd,7767a63b-9d0a-479d-be45-56723d1d4c36,f97e321b-ac65-4057-a901-09668427a33d,5ac92d3f-42f1-46d6-ae2a-7bfb6da29a80,d0941867-483a-44d7-af7c-e9a0cb4a5a6f,17477,2024-05-09 20:37:04,2023-03-26 17:43:05
f4b48be4-f92a-4f3d-b7f7-26132a767e56,7e4b8fd1-86d2-41aa-a9f1-c958fcae5407,4898deb9-da65-4a99-9f17-e013bc3c25cc,4eb20bfa-9b50-4dd2-a4a9-e22c99726f73,2249de95-e35c-41e4-8230-526a74b2d35d,15316,2023-02-10 15:44:55,2022-09-09 23:10:38
ccf0c6d2-4f9d-45da-acf6-be0762e9d480,0ff10d59-5a82-4024-8556-77ebff8f4439,7b9cb9ef-0cd8-4b2b-83e0-3913fd70820d,70b0f181-637f-4692-b6bb-d19883170ca3,cab328f4-ceb9-4fe8-b805-655bb4b87750,1111,2022-08-31 05:43:40,2024-01-22 07:43:56
f782065e-3c88-47e3-8655-a51728951ebd,b9b852f8-cb29-4e9d-8816-061497870aec,5050f307-f787-4047-8d37-2cedc48c3557,4eb20bfa-9b50-4dd2-a4a9-e22c99726f73,d83b9faa-27cb-463c-a891-52c5bbb756bd,13644,2022-04-04 01:44:43,2022-03-21 22:43:50
904db14a-cbd7-47b6-9729-88e2e64c8341,a05d63b0-66af-4bdb-93f8-53bef168e8d2,449be6aa-4bbd-4733-b7e2-79353d4d7005,b12ad822-a5f6-472b-845c-9c106bee6805,69fd7e1c-3f86-4a43-adef-f1167cd6d892,15168,2022-11-22 11:50:23,2023-12-08 20:09:26
7ebad8e5-7e4f-4b20-84bc-ff1ab1dde6a5,e69b3221-8c20-4402-bd5c-386a17d66fec,6465de2a-d171-47cf-8c70-c744338b243d,5ac92d3f-42f1-46d6-ae2a-7bfb6da29a80,edd301e7-aa66-4be7-bc11-84c826c846bf,10659,2023-05-11 22:33:29,2024-07-12 07:01:46
710b399f-0de2-4233-951d-9677bdd0ca8e,aac8c0d1-1a41-4860-83df-bf2986b5cca0,f4a1dbe7-d8f0-42bc-82ab-fe34f249654a,4eb20bfa-9b50-4dd2-a4a9-e22c99726f73,f4c7d9ed-46b8-4aa1-ae30-20454ded7136,10118,2022-11-03 18:39:15,2024-06-25 17:01:26
fae92428-e312-45ff-b579-e0add8cc41e2,d8fecff3-ce62-46b6-b0bd-80b7b8fb4aff,c47f4c8a-816e-4d6a-9b91-e79cf635d0e5,4eb20bfa-9b50-4dd2-a4a9-e22c99726f73,e5712efe-ef97-440b-84fb-ecf076f7fd92,8386,2022-04-27 00:32:17,2023-07-14 01:14:52
f8580bf9-3637-4ca6-bc50-2857a9f6590b,1b906c0b-cfce-4147-aa91-6def6659ac0f,b9d9e952-3729-466a-99e4-8cb64954f439,4eb20bfa-9b50-4dd2-a4a9-e22c99726f73,6284e8e8-8c4a-45dc-8625-40a34f2fe831,8223,2023-10-23 22:33:48,2024-06-19 13:34:48
06f67d98-f2f7-4373-999b-3258e7b3c272,44592c7f-7bb0-4928-bbe9-886b82ed1743,c68acfda-6db5-405f-ab3d-9e54547cc5df,c53c3404-7431-4b49-b22a-35b72ef4a2fd,7d36d1eb-81cc-458b-8675-e981173078eb,11146,2022-04-06 08:32:21,2023-04-10 07:38:49
cb4adeaf-a674-4978-b8ff-f3af2cc7cff7,89739a5f-33ea-452e-bb90-ce0510906bbe,f556ace5-b699-4fcf-a271-5d9f7351ad1f,5ac92d3f-42f1-46d6-ae2a-7bfb6da29a80,d014bf6f-0ce0-4993-aa6b-8d083a1efccc,14299,2024-12-16 04:51:37,2024-01-12 11:44:33
92d63add-835b-427e-ab6e-45d77c31c071,e3182181-88d9-4465-b00a-bcad108d4b74,9c5f5fb0-1003-489d-a4f6-75cc1a8ae9c5,b12ad822-a5f6-472b-845c-9c106bee6805,f2d72338-4ce1-475d-90b9-67154706222c,14862,2024-01-13 15:11:44,2023-10-05 10:30:20
cb9a9680-a2e5-496a-87da-6b95a697b382,13423549-f164-48d0-9928-a8d590962cae,9c5f5fb0-1003-489d-a4f6-75cc1a8ae9c5,70b0f181-637f-4692-b6bb-d19883170ca3,05f92f02-2c57-49a6-ace2-e2be7e43eb35,17385,2024-05-28 10:24:31,2022-07-02 07:45:33
d505d4f8-02f2-4996-97b1-f97d02771a02,2e1afbb9-8935-405e-960e-27b1676eba4f,a17c8e52-56cb-417f-9033-d0526bc2a589,c53c3404-7431-4b49-b22a-35b72ef4a2fd,9508ef70-fa52-46b1-8635-dd1d4de50466,13428,2024-11-08 19:52:16,2022-06-13 09:37:29
020dd8d1-438a-4f0f-8857-68a8a07550be,c0d882ef-69b0-42ee-bea4-565e66d5099b,382a30ba-7fca-4b36-b4f8-14feb2a55572,c53c3404-7431-4b49-b22a-35b72ef4a2fd,f4c7d9ed-46b8-4aa1-ae30-20454ded7136,9865,2022-05-30 09:24:59,2022-06-16 23:59:11
b3c18a96-95b3-4a44-8b98-9f3303d8b9ce,919057b3-a156-4463-ac64-4673a3720a56,f4a1dbe7-d8f0-42bc-82ab-fe34f249654a,c53c3404-7431-4b49-b22a-35b72ef4a2fd,64fa6d94-baf8-4244-80a7-0c8c7ed9350b,18811,2024-01-25 10:50:46,2022-03-21 13:48:21
6259b746-5e84-410c-9961-0a510c9a596e,b1638593-61c8-401e-af63-1da677e62a3f,ca6a3dd3-f966-452a-80ca-0cc1486d9554,b12ad822-a5f6-472b-845c-9c106bee6805,5f2b3883-76ca-43e1-90e2-2c79f1fb83c9,10040,2024-07-08 03:21:56,2024-01-23 01:10:57
d2291f6d-9b13-4823-a89a-2be23132c751,58a12b99-da4d-43ea-9c46-7104d472df21,a17c8e52-56cb-417f-9033-d0526bc2a589,b12ad822-a5f6-472b-845c-9c106bee6805,8bdd62aa-e6f1-4c09-b601-059f651bf5bc,15115,2022-06-04 20:41:16,2024-06-13 23:41:45
33d6402c-c013-42ca-bc48-5a543ae58d21,b6ef41df-44e6-429f-a0b6-afa65b669dbe,fd4f23c6-0e0b-4a1c-9527-77e78c0278ef,70b0f181-637f-4692-b6bb-d19883170ca3,004f31bd-9658-434c-8b48-bdd6ffe80dcb,3860,2022-11-16 02:11:55,2024-01-05 05:54:37
a2c5180b-d8ba-455c-91ac-687db4419a3c,f9ad41ad-2189-4459-98ef-ee0404d646ae,fd4f23c6-0e0b-4a1c-9527-77e78c0278ef,c53c3404-7431-4b49-b22a-35b72ef4a2fd,e57eb905-8201-4299-a163-dfa7a5bbf4f0,15607,2024-04-24 08:50:00,2023-09-02 06:27:04
