account_id,geo_id,account_name,domain,industry,company_size,crm_owner_id,lifecycle_stage,created_at,updated_at
6999801a-b654-4fee-8e90-f94012a8d057,b8806616-764a-4f02-ac60-c718be6f04f9,Company_0,company0.com,SaaS,51-200,72907dfa-69ad-4b0d-80e9-a16de4d3c1f6,Customer,2024-09-20 07:33:32,2024-06-12 07:19:23
5e6a0dcd-c53c-46a7-a58f-abd79cb777ec,986cb746-08a3-4f11-a5bd-6ffb7c73a883,Company_1,company1.com,Fintech,11-50,9776ee7e-3e43-4e02-a87b-c007908651e3,Customer,2022-06-22 22:43:23,2023-01-11 20:06:26
f57a036f-08b1-490f-bd2c-94d2f7cbeca7,f556ace5-b699-4fcf-a271-5d9f7351ad1f,Company_2,company2.com,E-commerce,1-10,c8753b3e-8b95-463c-ae28-a9deb1b153e7,Expansion,2022-02-08 20:28:06,2022-08-12 00:55:57
217aa854-8c57-4112-81af-afddf5ee441a,c47f4c8a-816e-4d6a-9b91-e79cf635d0e5,Company_3,company3.com,Healthcare,1-10,835f08c6-12b0-44c9-b037-8f82516bd88a,Customer,2023-03-04 05:50:10,2023-03-29 11:24:24
8f507730-b6d3-4a69-a6d7-d5348c05521b,65571c78-d8ce-46d8-8fd7-1d487c346d71,Company_4,company4.com,Healthcare,11-50,9776ee7e-3e43-4e02-a87b-c007908651e3,Customer,2023-01-16 10:13:48,2023-10-29 19:11:09
397c8ae2-7223-4e97-a08a-85fd24f01fe5,f97e321b-ac65-4057-a901-09668427a33d,Company_5,company5.com,Healthcare,1-10,f7f58d6f-e759-45df-9713-837d54d40011,Customer,2022-12-13 17:53:58,2022-01-03 10:19:21
bec06c50-7aec-4b98-aee3-23cea488079b,9c5f5fb0-1003-489d-a4f6-75cc1a8ae9c5,Company_6,company6.com,E-commerce,51-200,682b6bd6-5e94-4d2b-8c6a-5ce0c3c333a6,Expansion,2022-08-05 18:21:03,2024-08-13 01:45:45
95a5bdbe-d7ca-4a42-b7bb-84a68fa6ba75,f556ace5-b699-4fcf-a271-5d9f7351ad1f,Company_7,company7.com,Fintech,51-200,ba61e43e-b22e-4e85-a86a-db5c9da21267,Lead,2022-06-09 05:17:49,2023-07-03 01:56:07
ce989904-aae4-4e16-9959-3d27905f58ce,c68acfda-6db5-405f-ab3d-9e54547cc5df,Company_8,company8.com,E-commerce,1-10,29f5d0bf-28f8-41f0-a135-ac8c572ebe80,Customer,2024-11-17 05:11:07,2023-01-09 16:53:05
d5341ce8-c73a-457f-a348-f6cdff6ed994,6220054f-7c0d-4f92-8962-9682f69b589b,Company_9,company9.com,Healthcare,51-200,a91f152b-bb2e-426e-bd21-bf654fa77b83,Expansion,2024-04-27 04:44:17,2024-06-05 11:53:07
5c357243-91a6-4849-b768-8ada7e0a7c37,9c5f5fb0-1003-489d-a4f6-75cc1a8ae9c5,Company_10,company10.com,E-commerce,200-1000,394220d0-fe7f-42b3-9bc3-6eba674bf7cb,Expansion,2022-05-16 01:18:52,2023-10-10 02:45:56
e1531bb6-405d-4483-b0c3-22933e805a95,b0b30ba9-1373-4d34-b2e3-4950984f2c16,Company_11,company11.com,E-commerce,1-10,97de1e52-2ff3-4926-b55b-e71034f05b74,Churned,2024-07-06 07:09:23,2022-10-18 23:34:07
