nps_id,contact_id,account_id,geo_id,score,comment,response_timestamp
0889c832-71b6-4261-be13-ae9b3079e044,f9348c96-26d2-42f2-8df3-8f9a9ff0e022,82070d9a-0c65-4c57-ad7c-a0147e18a9d3,0b6d7c05-babf-4a3f-8a30-ace0df963ca7,6,Bad,2024-03-31 22:07:39
d712ad48-5bfb-49d0-9762-db16ed5c53ef,ddb00600-2f95-4483-8f5c-c307f705be8c,21eed462-bc16-4f32-b6a5-9b3006c2fada,c68acfda-6db5-405f-ab3d-9e54547cc5df,9,Terrible,2024-01-10 13:49:02
410f767b-3990-4255-a38a-6b65222fbef7,fbd422d4-bf0f-494d-9957-7dd2fe7ac3ef,2bfb33a0-29f7-46d4-b9ce-99013a9aa356,713b4916-11b7-44e2-adb2-6f39959206ae,2,Great,2022-11-24 16:11:43
81b7a555-27f2-44b2-9967-61e8cbf0ae6c,41f7ff0a-8afc-4eb2-8408-8d55c0d89b6c,d02e3bd4-3c67-4390-b9e1-705e0f27fad5,b9d9e952-3729-466a-99e4-8cb64954f439,7,Bad,2022-06-12 13:47:18
5173f463-6f3f-4b21-a5dd-25934c5ab256,dd76cb96-8630-4d9f-9603-713f57a2db8b,2d4fba5f-f8fb-4acf-a930-7b17bab8fcf3,f4a1dbe7-d8f0-42bc-82ab-fe34f249654a,5,Great,2022-01-22 17:07:53
1f1b0bc3-7217-4537-a120-75925af40067,4bf1f8ed-4f81-4dd0-b5dd-bc671aeeb72e,9b5cf726-7e3f-4cc3-9b1a-63098b7fa347,b9d9e952-3729-466a-99e4-8cb64954f439,1,Terrible,2023-05-13 16:20:15
b814c0cd-5139-4c92-bcf3-1a372e725cb7,ad5ee899-7898-441c-8251-97e3babba7b5,11129952-0299-4167-beaa-6b128c53d8de,6220054f-7c0d-4f92-8962-9682f69b589b,9,Bad,2023-06-29 00:51:14
5cff8270-3edb-494b-902a-fff2325c20bc,723a3eea-57a9-4289-b62b-a0e1428a66ac,6bc728e2-a774-4b79-a42d-7466426e7d20,449be6aa-4bbd-4733-b7e2-79353d4d7005,4,Bad,2024-08-10 23:58:51
aea268c9-8568-4064-9a76-57d5930cfcce,f5380800-cebd-4af3-954f-3433f195dd68,58bdf95c-fc00-46c2-a6e4-769f7c5867bc,c6bfca28-c2e2-4268-ac7f-2f888a5c6401,2,Good,2023-07-09 18:18:08
9f19ddb1-32d1-456b-97df-8ffc65a36438,d00e442c-2b84-418f-b532-b0d82b8e535c,9641a21b-4e19-48dc-b10d-fbb06b6045d1,92281d5b-28df-4ff1-9663-dc6f0896606d,3,Great,2023-01-29 15:23:39
0cfd1ac8-b5ef-46f4-8841-111590d58527,28e4e483-067f-450a-a0bd-b68486c1b22c,66f5f870-22b1-41ad-9381-80029a68e00b,d3b58f8b-c9b8-449d-afa7-046a5607b449,7,Great,2024-10-17 20:15:21
e9ebc51c-ff5c-4ed2-966e-6c947ebb31d0,153695b8-fd59-4ef2-8180-d8f956ea25b3,fe108450-ab71-45a2-9094-eed8a7266cfa,f556ace5-b699-4fcf-a271-5d9f7351ad1f,6,Terrible,2022-06-20 14:50:39
59471b54-2d7d-423f-8df2-0f79a8798b36,f1993ee9-61a0-47b0-8820-66788117876f,652c235d-a203-4b96-b125-4b98a33dba1b,308a661f-1cae-4c0d-a556-c6757629b1dd,0,Great,2024-08-04 00:42:38
ed596eec-6cf2-4553-8ce9-4ab818204f85,2d1320b6-8fb7-44dd-909e-f0bde09aff2e,d9d1c499-eac2-4fea-a252-f7391fff07ec,7b9cb9ef-0cd8-4b2b-83e0-3913fd70820d,5,Good,2024-05-07 18:57:49
49e1f72e-62c5-4516-8f5c-5a4b34f5961c,3ea21081-3b16-4764-9c3e-747472dad3eb,728c08a3-4719-4f4b-bef2-d9636e04f63a,c68acfda-6db5-405f-ab3d-9e54547cc5df,1,Great,2024-02-19 22:46:13
a6625de8-c41d-4d19-9766-24f49c8e0aac,4b71da41-92f2-4e0c-8e58-7fba60c419c6,a90fc616-047d-4762-bffe-4a3f80c95e62,c6bfca28-c2e2-4268-ac7f-2f888a5c6401,5,Great,2022-03-10 22:02:54
be83a9ce-fdca-4e08-9416-7ab087f71d43,42b1c9be-1365-4bd9-ae54-96674860de6a,bc1ba9ff-019f-4739-9ed3-d04edafeaedd,2069ac2f-8681-4d9d-8ff6-3fc8888d98ef,4,Great,2022-09-02 14:50:29
23521063-bcc9-46de-b908-dcc9d5cd6ffe,f557a543-ddf7-4ac2-becd-e35ef46e53b5,1cbad9b9-0821-49da-a928-0cb756b73025,b8806616-764a-4f02-ac60-c718be6f04f9,8,Bad,2022-02-07 04:22:55
e73dbf6d-bc5d-493b-9649-794c481c1465,e3d428ab-a724-4c4a-87b1-44166e050093,4932fc2b-a680-4bb4-a4f5-79a2e68515dc,382a30ba-7fca-4b36-b4f8-14feb2a55572,6,Bad,2023-04-20 11:26:11
85b03623-0411-49ae-9be4-d91f40bfb7ab,a48b4d3e-ae8e-43d6-874a-be3d51c700b5,b9994e2d-e1b6-40b3-9997-d8106ab7b67c,f97e321b-ac65-4057-a901-09668427a33d,1,Good,2024-09-29 16:43:50
9bc54bc1-095c-4d1c-a981-ee3abe486145,99663169-0820-498b-aa77-568b1c44523b,7f97997c-0fa8-449f-b57c-44a853920db5,ce373f7b-ea9d-41e8-85b7-a385636a93e7,8,Good,2023-05-21 23:57:10
3f5b7f9a-0ff4-472a-a319-861d0d5d51e9,008892a5-0f81-484a-841e-b6e76e098a9b,53c3fe88-15f3-4400-a674-ea59e6fd0067,f8e719a4-7253-49a7-b6b4-80ac6afd68e7,2,Great,2022-08-28 10:12:54
80a3716b-a921-41ac-8450-1a246f83f706,1d076715-ca51-4c03-af2b-7f9b4aee037f,fc48f365-8f27-4791-a026-0a142f2e1dd9,fda10fd5-4541-4e82-a935-3502434627b7,0,Bad,2022-02-23 07:42:47
